id,link
1,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=7af4b5e9-f5bb-410c-8370-f74e04e7683b&type=pdf
2,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=7d1950b4-3237-4512-bab3-4c7364bdd618&type=pdf
3,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=0584e235-34f8-4d53-aa7c-ac11e01ac456&type=pdf
4,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=470991e3-cdab-4891-b8cd-382c24a7d1e5&type=pdf
5,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=d9f2701e-8934-46d3-ae0e-1a0413ecb336&type=pdf
6,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=608284e0-7233-4900-9ec7-74df162c732b&type=pdf
7,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=34f71b89-5657-028c-e054-00144ff88e88&type=pdf
8,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=b571eeee-4286-4f23-a3bf-6da0325a6b19&type=pdf
9,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=c7c0bc70-b640-4d1d-ac14-ade0fd8b8575&type=pdf
10,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=6bd126f0-967e-47d2-82d8-1c90f69aca5d&type=pdf
