id,link
1,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=554baee5-b171-4452-a50a-41a0946f956c&type=pdf
2,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=20682605-557b-4586-9d98-829a63091ddf&type=pdf
3,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=ccbbf0d6-efd9-4fdd-9e7b-e3d293062609&type=pdf
4,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=d54a97d5-3664-4ca5-bffd-8366c7255b73&type=pdf
5,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=744737c5-0d96-4214-82ab-6cff016b1ea0&type=pdf
6,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=c555f8de-477f-0225-98a2-baf8945bbd63&type=pdf
7,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=b22c2ad8-0d4a-4b78-8d6e-dc917a777ab6&type=pdf
8,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=54e6d137-a495-4b87-b3c2-2f5a0226dd3e&type=pdf
9,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=2d98aea3-35ba-447a-b88f-a5a20b612b2f&type=pdf
10,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=5d49181b-b974-a5da-3b38-12a3a87bb96b&type=pdf
11,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=b519bd83-038c-4ec5-a231-a51ec5cc291f&type=pdf
12,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=79a3305b-be80-416f-a346-5a907f7b669e&type=pdf
13,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=704e4378-ca83-445c-8b45-3cfa51c1ecad&type=pdf
14,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=0ad21db3-2b1c-4ed9-a687-bdd6a74d0aae&type=pdf
15,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=88f1abdc-f53e-4ff9-b4c1-3cfbc2609b79&type=pdf
16,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=a21f4f4b-b891-4f25-b747-cb9ec7d865d6&type=pdf
17,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=93f80edb-3b38-423e-8cd6-5b5cb4393ec2&type=pdf
18,https://dailymed.nlm.nih.gov/dailymed/getFile.cfm?setid=5b851f67-309d-4ef3-8b4b-ade8908256ea&type=pdf
